Epoch	Train_loss	Valid_loss	AUC
1	1.908	1.966	0.6342
2	1.74	1.957	0.669
3	1.635	1.871	0.7217
4	1.517	1.796	0.7538
5	1.46	1.703	0.763
6	1.395	1.627	0.7832
7	1.315	1.523	0.8132
8	1.286	1.55	0.8092
9	1.276	1.565	0.8185
10	1.256	1.432	0.8258
11	1.177	1.433	0.8226
12	1.152	1.372	0.8334
13	1.166	1.391	0.8297
14	1.138	1.465	0.8275
15	1.097	1.329	0.8328
16	1.051	1.447	0.825
17	1.037	1.454	0.8265
18	1.025	1.332	0.8268
19	0.999	1.413	0.8274
20	0.982	1.396	0.8213
21	0.98	1.417	0.8325
22	0.979	1.372	0.8221
