Entropy	Region	Response
8.70	R1	Exclusion
6.08	R2	Exclusion
10.03	R3	Exclusion
9.50	R4	Exclusion
6.38	R1	Inclusion
6.79	R2	Inclusion
7.56	R3	Inclusion
1.55	R4	Inclusion
8.23	R1	Inclusion
9.40	R2	Inclusion
7.47	R3	Inclusion
8.59	R4	Inclusion
9.72	R1	Exclusion
8.56	R2	Exclusion
5.71	R3	Exclusion
7.58	R4	Exclusion
6.39	R1	Exclusion
11.23	R2	Exclusion
2.06	R3	Exclusion
8.39	R4	Exclusion
10.49	R1	Stable
7.95	R2	Stable
8.24	R3	Stable
11.78	R4	Stable
9.81	R1	Exclusion
9.61	R2	Exclusion
8.82	R3	Exclusion
8.97	R4	Exclusion
9.05	R1	Stable
8.16	R2	Stable
2.05	R3	Stable
8.73	R4	Stable
11.11	R1	Inclusion
10.62	R2	Inclusion
9.16	R3	Inclusion
10.22	R4	Inclusion
10.90	R1	Stable
10.35	R2	Stable
8.37	R3	Stable
9.33	R4	Stable
10.36	R1	Exclusion
6.60	R2	Exclusion
7.52	R3	Exclusion
8.56	R4	Exclusion
7.93	R1	Exclusion
12.63	R2	Exclusion
7.51	R3	Exclusion
5.61	R4	Exclusion
9.48	R1	Exclusion
7.89	R2	Exclusion
8.76	R3	Exclusion
9.48	R4	Exclusion
6.02	R1	Exclusion
12.79	R2	Exclusion
7.44	R3	Exclusion
7.00	R4	Exclusion
10.47	R1	Exclusion
12.43	R2	Exclusion
9.27	R3	Exclusion
11.68	R4	Exclusion
6.91	R1	Exclusion
10.87	R2	Exclusion
9.49	R3	Exclusion
10.93	R4	Exclusion
9.88	R1	Stable
8.17	R2	Stable
8.63	R3	Stable
8.70	R4	Stable
10.19	R1	Stable
6.22	R2	Stable
9.65	R3	Stable
8.15	R4	Stable
8.38	R1	Exclusion
4.72	R2	Exclusion
6.64	R3	Exclusion
7.83	R4	Exclusion
7.04	R1	Stable
4.21	R2	Stable
6.05	R3	Stable
7.11	R4	Stable
9.79	R1	Exclusion
10.44	R2	Exclusion
7.33	R3	Exclusion
7.34	R4	Exclusion
9.09	R1	Stable
4.23	R2	Stable
10.28	R3	Stable
11.95	R4	Stable
9.85	R1	Stable
8.29	R2	Stable
10.07	R3	Stable
10.53	R4	Stable
8.63	R1	Exclusion
7.86	R2	Exclusion
6.69	R3	Exclusion
12.32	R4	Exclusion
7.94	R1	Exclusion
9.42	R2	Exclusion
10.45	R3	Exclusion
10.92	R4	Exclusion
8.63	R1	Stable
10.23	R2	Stable
10.47	R3	Stable
12.38	R4	Stable
9.16	R1	Exclusion
11.44	R2	Exclusion
8.56	R3	Exclusion
8.67	R4	Exclusion
10.45	R1	Exclusion
8.52	R2	Exclusion
-1.00	R3	Exclusion
12.16	R4	Exclusion
8.41	R1	Exclusion
6.59	R2	Exclusion
9.40	R3	Exclusion
9.12	R4	Exclusion
5.66	R1	Stable
10.89	R2	Stable
-0.23	R3	Stable
8.04	R4	Stable
5.39	R1	Inclusion
8.58	R2	Inclusion
7.47	R3	Inclusion
9.06	R4	Inclusion
9.88	R1	Exclusion
7.46	R2	Exclusion
10.45	R3	Exclusion
2.35	R4	Exclusion
9.16	R1	Inclusion
1.31	R2	Inclusion
9.79	R3	Inclusion
8.90	R4	Inclusion
4.95	R1	Exclusion
9.14	R2	Exclusion
7.52	R3	Exclusion
4.21	R4	Exclusion
10.03	R1	Inclusion
10.29	R2	Inclusion
5.30	R3	Inclusion
8.19	R4	Inclusion
9.43	R1	Stable
8.74	R2	Stable
7.48	R3	Stable
13.15	R4	Stable
6.06	R1	Inclusion
6.51	R2	Inclusion
7.76	R3	Inclusion
11.84	R4	Inclusion
8.73	R1	Stable
7.59	R2	Stable
9.60	R3	Stable
9.31	R4	Stable
7.96	R1	Exclusion
-1.10	R2	Exclusion
8.62	R3	Exclusion
10.01	R4	Exclusion
10.67	R1	Exclusion
10.51	R2	Exclusion
8.93	R3	Exclusion
11.21	R4	Exclusion
7.96	R1	Exclusion
8.75	R2	Exclusion
8.59	R3	Exclusion
9.45	R4	Exclusion
8.99	R1	Exclusion
8.71	R2	Exclusion
2.32	R3	Exclusion
10.24	R4	Exclusion
7.41	R1	Exclusion
11.89	R2	Exclusion
7.66	R3	Exclusion
12.20	R4	Exclusion
8.41	R1	Stable
11.19	R2	Stable
4.29	R3	Stable
8.83	R4	Stable
10.45	R1	Inclusion
5.91	R2	Inclusion
10.08	R3	Inclusion
8.91	R4	Inclusion
4.69	R1	Stable
6.91	R2	Stable
1.87	R3	Stable
12.53	R4	Stable
10.28	R1	Exclusion
4.45	R2	Exclusion
7.64	R3	Exclusion
8.03	R4	Exclusion
4.41	R1	Stable
-1.79	R2	Stable
9.80	R3	Stable
9.79	R4	Stable
9.22	R1	Stable
10.35	R2	Stable
10.47	R3	Stable
9.60	R4	Stable
8.68	R1	Exclusion
7.18	R2	Exclusion
7.44	R3	Exclusion
9.81	R4	Exclusion
9.85	R1	Exclusion
7.61	R2	Exclusion
9.10	R3	Exclusion
11.06	R4	Exclusion
10.28	R1	Exclusion
11.65	R2	Exclusion
7.07	R3	Exclusion
8.81	R4	Exclusion
10.47	R1	Inclusion
6.35	R2	Inclusion
6.38	R3	Inclusion
10.32	R4	Inclusion
7.30	R1	Stable
8.24	R2	Stable
9.80	R3	Stable
8.50	R4	Stable
10.51	R1	Stable
4.59	R2	Stable
8.08	R3	Stable
7.82	R4	Stable
9.26	R1	Exclusion
11.50	R2	Exclusion
5.66	R3	Exclusion
9.02	R4	Exclusion
10.77	R1	Exclusion
5.91	R2	Exclusion
10.28	R3	Exclusion
9.41	R4	Exclusion
9.16	R1	Inclusion
5.88	R2	Inclusion
7.27	R3	Inclusion
8.22	R4	Inclusion
6.19	R1	Exclusion
7.40	R2	Exclusion
6.02	R3	Exclusion
7.32	R4	Exclusion
10.29	R1	Exclusion
